sample_id,cell_line,drug,dosage,split
CPC001_PC3_6H:BRD-K10177585-003-01-6:10,PC3,CC[C@@H]1CN2C(=N1)c1[nH]c(nc1N(C)C2=O)-c1ccccc1,1.04139268515823,train
CPC001_PC3_6H:BRD-K11373525-003-01-3:10,PC3,CCc1cc2N(Cc3ccc(cc3)-c3ccccc3-c3nnn[nH]3)C(=O)CCc2c(CC)n1,1.04139268515823,train
CPC001_PC3_6H:BRD-K11911061-003-02-8:10,PC3,COc1ccc(NC(=O)c2ccc(cc2)-c2ccc(cc2C)-c2noc(C)n2)cc1N1CCN(C)CC1,1.04139268515823,train
CPC001_PC3_6H:BRD-K12120659-305-01-4:10,PC3,NC(=N)c1ccc(cc1)N1CCN(CC1)C1CCN(CC(O)=O)CC1,1.04139268515823,train
CPC001_PC3_6H:BRD-K12244279-001-01-7:10,PC3,N\C(Sc1ccc(N)cc1)=C(\C#N)c1ccccc1C(F)(F)F,1.04139268515823,train
CPC001_PC3_6H:BRD-K14618467-003-01-8:10,PC3,O=C(N1CCC(CC1)N1CCCC1)c1ccc(Nc2nccc(n2)-c2cc3ccccc3s2)cc1,1.04139268515823,train
CPC001_PC3_6H:BRD-K15086322-103-01-0:10,PC3,CN1CCN(CC1)C(=O)c1nc2ccc(Cl)cc2[nH]1,1.04139268515823,train
CPC001_PC3_6H:BRD-K15791587-003-01-7:10,PC3,FC(F)(F)c1cc(CO[C@H]2CCCN[C@H]2c2ccccc2)cc(c1)C(F)(F)F,1.04139268515823,train
CPC001_PC3_6H:BRD-K17896185-001-01-2:10,PC3,CCC(=O)N(C1CCN(CCc2ccc(cc2)N=C=S)CC1)c1ccccc1,1.04139268515823,train
CPC001_PC3_6H:BRD-K24201553-003-02-4:10,PC3,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(O)c2)CC1,1.04139268515823,train
CPC001_PC3_6H:BRD-K26521938-001-04-9:10,PC3,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,1.04139268515823,train
CPC001_PC3_6H:BRD-K27737647-300-01-4:10,PC3,Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1,1.04139268515823,train
CPC001_PC3_6H:BRD-K54708045-001-01-3:10,PC3,OC(=O)c1n(Cc2ccc(Cl)cc2)c2ccc(Cl)cc2c1Sc1ccccc1,1.04139268515823,train
CPC001_PC3_6H:BRD-K59650319-003-01-7:10,PC3,CN(C1CCCCC1)C(=O)c1sc2nc3ccc(N)cc3n2c1C,1.04139268515823,train
CPC001_PC3_6H:BRD-K60184833-001-03-1:10,PC3,NC(=O)C(=C\c1ccc(O)c(O)c1)\C#N,1.04139268515823,train
CPC001_PC3_6H:BRD-K62310379-001-03-0:10,PC3,CCC(=O)O[C@@]1([C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)SCF,1.04139268515823,train
CPC001_PC3_6H:BRD-K63150726-001-01-3:10,PC3,CCCCCOc1c(OC)ccc2cc(C(=O)NCc3ccc4OCOc4c3)c(=O)[nH]c12,1.04139268515823,train
CPC001_PC3_6H:BRD-K66782112-001-01-2:10,PC3,NC(=O)CCCCn1ccc(N=C(N)NCC(F)(F)F)n1,1.04139268515823,train
CPC001_PC3_6H:BRD-K67013324-001-01-5:10,PC3,CC(=O)NCCc1c(Cc2ccccc2)[nH]c2ccccc12,1.04139268515823,train
CPC001_PC3_6H:BRD-K67277431-002-03-0:10,PC3,COc1ccc(cc1C(=O)NCc1cccnc1)C(=O)NCc1cccnc1,1.04139268515823,train
CPC001_PC3_6H:BRD-K68246049-001-01-4:10,PC3,CC(=Cc1ccc(cc1)C(=O)O)c2ccc3c(c2)C(C)(C)CCC3(C)C,1.04139268515823,train
CPC001_PC3_6H:BRD-K73397362-001-01-7:10,PC3,C1CCC(CC1)n1cnc2c(Nc3ccc(cc3)N3CCOCC3)nc(Oc3cccc4ccccc34)nc12,1.04139268515823,train
CPC001_PC3_6H:BRD-K76568384-001-01-4:10,PC3,Oc1ccc(cc1)-c1c(nn2c(cc(nc12)C(F)(F)F)C(F)(F)F)-c1ccccc1,1.04139268515823,train
CPC001_PC3_6H:BRD-K76840893-003-01-7:10,PC3,CC(C)(Cc1c[nH]c2ccc(Cl)cc12)NCCOc1ccccc1OCC1CC1,1.04139268515823,train
CPC001_PC3_6H:BRD-K78637815-001-01-4:10,PC3,COc1ccc(cc1)-c1oc2cc(OC)ccc2c1C(=O)c1ccc(cc1)C#N,1.04139268515823,train
CPC001_PC3_6H:BRD-K79930101-300-01-1:10,PC3,CS(=O)(=O)CCNCc1nc(cs1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,1.04139268515823,train
CPC001_PC3_6H:BRD-K80970344-201-02-9:10,PC3,SC(=S)N1CCCC1,1.04139268515823,test
CPC001_PC3_6H:BRD-K81225797-001-01-5:10,PC3,Nc1nc2n(CCc3ccccc3)ncc2c2nc(nn12)-c1ccco1,1.04139268515823,test
CPC001_PC3_6H:BRD-K82823804-001-01-7:10,PC3,Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1,1.04139268515823,test
CPC001_PC3_6H:BRD-K83637872-001-01-7:10,PC3,Cc1nn(c(C)c1C=NN2CCN(Cc3ccccc3)CC2)c4ccccc4,1.04139268515823,train
CPC001_PC3_6H:BRD-K84175871-003-02-2:10,PC3,CN[C@@H](C)[C@@H](O)c1ccccc1,1.04139268515823,train
CPC001_PC3_6H:BRD-K87510569-001-01-0:10,PC3,Cc1oc(nc1CCN1CCC2(CC1)OC(=O)Nc1ccc(C)cc21)-c1ccccc1,1.04139268515823,train
CPC001_PC3_6H:BRD-K87696786-003-01-0:10,PC3,COc1ccc(Nc2ncnc3ccc(OC)cc23)cc1,1.04139268515823,train
CPC001_PC3_6H:BRD-K92984783-003-02-4:10,PC3,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,1.04139268515823,train
CPC001_PC3_6H:BRD-K94176593-001-02-9:10,PC3,Nc1cccc(c1)-c1cc2c(Oc3cccc(O)c3)ncnc2[nH]1,1.04139268515823,train
CPC001_PC3_6H:BRD-K94832621-001-01-5:10,PC3,CC(C)N1CCN(CC1)c1ccc(cc1)C(=O)c1c(sc2cc(O)ccc12)-c1ccc(O)cc1,1.04139268515823,train
CPC001_PC3_6H:BRD-K96862998-001-03-1:10,PC3,Cc1ccc(=O)n(c1)-c1ccccc1,1.04139268515823,test
CPC002_PC3_6H:BRD-A23072235-050-09-4:10,PC3,CN(C)CCC(c1ccccc1)c1ccccn1,1.04139268515823,test
CPC002_PC3_6H:BRD-A29289453-001-03-9:10,PC3,COC(=O)C1=C(C)NC(C)=C(C1C)C(=O)OCCSc1ccccc1,1.04139268515823,train
CPC002_PC3_6H:BRD-A89337244-001-01-1:10,PC3,CCOC(=O)c1c(C)[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c12,1.04139268515823,train
CPC002_PC3_6H:BRD-K04146668-001-01-3:10,PC3,Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14,1.04139268515823,test
CPC002_PC3_6H:BRD-K05528470-305-01-4:10,PC3,Clc1ccc(cc1)N1CCN(Cc2c[nH]c3ncccc23)CC1,1.04139268515823,train
CPC002_PC3_6H:BRD-K06753942-001-06-1:10,PC3,COc1ccc(cc1OC)-c1cc(=O)c2c(OC)c(OC)c(OC)c(OC)c2o1,1.04139268515823,train
CPC002_PC3_6H:BRD-K07691486-001-04-9:10,PC3,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,1.04139268515823,train
CPC002_PC3_6H:BRD-K10042277-001-04-3:10,PC3,Clc1ccc2Nc3ccccc3C(=Nc2c1)N1CCNCC1,1.04139268515823,train
CPC002_PC3_6H:BRD-K10843433-001-12-8:10,PC3,CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,1.04139268515823,test
CPC002_PC3_6H:BRD-K12867552-001-01-3:10,PC3,CN(C)Cc1c(oc2ccccc12)C(=O)NCCOc1ccc(cc1)C(=O)NO,1.04139268515823,train
CPC002_PC3_6H:BRD-K13646352-001-01-2:10,PC3,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13)N(C)C(=O)c1ccccc1,1.04139268515823,train
CPC002_PC3_6H:BRD-K16195444-003-13-8:10,PC3,Cc1cc(c(O)c(C)c1CC1=NCCN1)C(C)(C)C,1.04139268515823,train
CPC002_PC3_6H:BRD-K18816859-001-01-4:10,PC3,CS(=O)(=O)Nc1ccc(Cc2noc(n2)-c2ccc3[nH]cc(CCN)c3c2)cc1,1.04139268515823,train
CPC002_PC3_6H:BRD-K19284129-001-01-8:10,PC3,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@@H](C[C@]21C)c1ccoc1,1.04139268515823,test
CPC002_PC3_6H:BRD-K19605405-001-01-9:10,PC3,Nc1nc(NCCc2ccc(O)cc2)nc2nc(nn12)-c1ccco1,1.04139268515823,train
CPC002_PC3_6H:BRD-K20287671-001-03-6:10,PC3,CN(C)c1ccc(cc1)\C=C1/C(=O)Nc2ccccc12,1.04139268515823,train
CPC002_PC3_6H:BRD-K20755323-001-01-8:10,PC3,Oc1ccc(Nc2nc(cs2)-c2ccc(Cl)cc2)cc1,1.04139268515823,train
CPC002_PC3_6H:BRD-K22010301-001-01-2:10,PC3,COc1oc(=O)c2cc(N)ccc2c1Cl,1.04139268515823,train
CPC002_PC3_6H:BRD-K22385716-001-01-7:10,PC3,O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCNCC1,1.04139268515823,train
CPC002_PC3_6H:BRD-K23383398-001-01-6:10,PC3,OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c1ccccc1)(C(F)(F)F)C(F)(F)F,1.04139268515823,train
CPC002_PC3_6H:BRD-K24240364-003-02-1:10,PC3,CC1=NN=C(c2ccc(N)cc2)c2cc3OCOc3cc2C1,1.04139268515823,train
CPC002_PC3_6H:BRD-K24675965-001-02-5:10,PC3,Brc1ccc(NC(=O)N2NC(=O)[C@H]([C@@H]2c2ccccc2)c2ccccc2)cc1,1.04139268515823,train
CPC002_PC3_6H:BRD-K31792052-004-01-9:10,PC3,Cc1ccc(cc1)c2cn3c4CCCCc4sc3n2,1.04139268515823,test
CPC002_PC3_6H:BRD-K31843556-001-01-7:10,PC3,[O-][N+](=O)c1ccc(Cl)c(c1)C(=O)Nc1ccncc1,1.04139268515823,train
CPC002_PC3_6H:BRD-K33864865-001-01-7:10,PC3,CC(C)Oc1cccc(c1)-n1c(CCc2c[nH]c3ccc(Br)cc23)nc2ccccc2c1=O,1.04139268515823,train
CPC002_PC3_6H:BRD-K34608650-001-01-6:10,PC3,Cc1ccc-2c(Cc3c(nn(c-23)-c2ccc(Cl)cc2Cl)C(=O)NC2CCCCC2)c1,1.04139268515823,train
CPC002_PC3_6H:BRD-K35559145-050-03-6:10,PC3,COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1,1.04139268515823,train
CPC002_PC3_6H:BRD-K37312348-001-06-9:10,PC3,Brc1ccc2[nH]c-3c(CC(=O)Nc4ccccc-34)c2c1,1.04139268515823,train
CPC002_PC3_6H:BRD-K43330982-001-01-5:10,PC3,CC(C)c1cc(NNC(=O)Nc2cc(Cl)nc(Cl)c2)nc2n(C)nc(C)c12,1.04139268515823,train
CPC002_PC3_6H:BRD-K47598052-001-06-7:10,PC3,Cc1ccc(cc1)-c1nn(c2ncnc(N)c12)C(C)(C)C,1.04139268515823,train
CPC002_PC3_6H:BRD-K47639036-003-03-3:10,PC3,Cc1c(oc2c(cccc2c1=O)C(=O)OCCN1CCCCC1)-c1ccccc1,1.04139268515823,train
CPC002_PC3_6H:BRD-K49671696-045-03-6:10,PC3,Fc1ccc(cc1)C(=O)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,1.04139268515823,train
CPC002_PC3_6H:BRD-K50018155-003-01-3:10,PC3,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(CCNS(C)(=O)=O)CC1,1.04139268515823,train
CPC002_PC3_6H:BRD-K50388907-001-15-5:10,PC3,CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1,1.04139268515823,test
CPC002_PC3_6H:BRD-K51918615-303-01-1:10,PC3,Ic1ccc(CCNC(=N)SCCCc2c[nH]cn2)cc1,1.04139268515823,train
CPC002_PC3_6H:BRD-K53913732-001-01-8:10,PC3,CN(C)c1ccc(NC(=O)Nc2cc(C)nc3c(F)cc(F)cc23)cc1,1.04139268515823,train
CPC002_PC3_6H:BRD-K54330070-001-07-1:10,PC3,Oc1ccc(cc1)-c1nc(c([nH]1)-c1ccncc1)-c1ccc(F)cc1,1.04139268515823,test
CPC002_PC3_6H:BRD-K60298136-001-01-7:10,PC3,COC(=O)c1csc(n1)C(=O)c2c[nH]c3ccccc23,1.04139268515823,test
CPC002_PC3_6H:BRD-K61097567-001-03-6:10,PC3,COC(=O)[C@H](NC(=O)c1cc(nc2ccccc12)-c1ccccc1)c1ccccc1,1.04139268515823,train
CPC002_PC3_6H:BRD-K67298865-001-03-3:10,PC3,NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCOc2c1,1.04139268515823,train
CPC002_PC3_6H:BRD-K69195780-004-03-5:10,PC3,COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1,1.04139268515823,train
CPC002_PC3_6H:BRD-K75641298-003-16-9:10,PC3,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,1.04139268515823,train
CPC002_PC3_6H:BRD-K76617868-003-03-6:10,PC3,O=S(=O)(N1CCCNCC1)c1cccc2cnccc12,1.04139268515823,train
CPC002_PC3_6H:BRD-K76775527-001-15-3:10,PC3,CS(=O)(=O)Nc1ccc(cc1Oc1ccccc1)[N+]([O-])=O,1.04139268515823,train
CPC002_PC3_6H:BRD-K77641333-003-15-6:10,PC3,C(C1=NCCN1)c1cccc2ccccc12,1.04139268515823,train
CPC002_PC3_6H:BRD-K79684402-300-01-0:10,PC3,Cc1ncc(CN2CCC(=CC2)c2ccccc2)c(N)n1,1.04139268515823,train
CPC002_PC3_6H:BRD-K82983861-001-01-9:10,PC3,Cc1nc(sc1CSc1ccc(OCC(O)=O)c(C)c1)-c1ccc(c(F)c1)C(F)(F)F,1.04139268515823,train
CPC002_PC3_6H:BRD-K86727142-001-06-6:10,PC3,CCCCCCCCCCCC1C(=O)C(=O)CC(=O)C1=O,1.04139268515823,train
CPC002_PC3_6H:BRD-K87048468-003-01-9:10,PC3,COc1cc(OC)c(cc1NS(=O)(=O)c1ccc(cc1)C(F)(F)F)C(=O)CCCCN1CCC2(CC1)NC(=O)NC2=O,1.04139268515823,test
CPC002_PC3_6H:BRD-K90789829-003-03-3:10,PC3,CCc1nn(CCCN2CCN(CC2)c2cccc(Cl)c2)c(=O)n1CCOc1ccccc1,1.04139268515823,train
CPC002_PC3_6H:BRD-K91263825-001-03-6:10,PC3,CNCCC=C1c2ccccc2CCc2ccccc12,1.04139268515823,train
CPC002_PC3_6H:BRD-K92778217-001-17-8:10,PC3,Cc1cccc(Nc2ccccc2C(O)=O)c1C,1.04139268515823,train
CPC003_PC3_6H:BRD-K10705233-001-01-4:10,PC3,COc1ccc2n(C(=O)c3cccc(Cl)c3Cl)c(C)c(CCN3CCOCC3)c2c1,1.04139268515823,train
CPC003_PC3_6H:BRD-K22503835-001-06-0:10,PC3,ONC(=O)CCCCCN1C(=O)c2cccc3cccc(C1=O)c23,1.04139268515823,train
CPC003_PC3_6H:BRD-K25906698-303-01-9:10,PC3,C(C1CCNCC1)c1c[nH]cn1,1.04139268515823,train
CPC003_PC3_6H:BRD-K37618799-001-01-4:10,PC3,Clc1ccc2nc(NC(=O)Cc3ccccc3)n3nc(nc3c2c1)-c1ccco1,1.04139268515823,train
CPC003_PC3_6H:BRD-K65285700-001-01-5:10,PC3,Cc1ccc-2c(Cc3c(nn(c-23)-c2ccc(Cl)cc2Cl)C(=O)NN2CCCCC2)c1,1.04139268515823,train
CPC003_PC3_6H:BRD-K67537649-001-01-1:10,PC3,COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12,1.04139268515823,test
CPC003_PC3_6H:BRD-K67831364-003-01-7:10,PC3,Cc1cc(F)c(Nc2ncnc3cc(OCc4ccccc4)ccc23)cc1O,1.04139268515823,train
CPC006_PC3_6H:BRD-K12502280-001-01-5:11.1,PC3,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C,1.04139268515823,test
CPC006_PC3_6H:BRD-K19295594-001-08-5:11.1,PC3,CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,1.04139268515823,train
CPC006_PC3_6H:BRD-K85606544-001-01-8:10,PC3,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C,1.04139268515823,test
CPC008_PC3_6H:BRD-K44432556-001-03-0:10,PC3,C(Nc1nc(nnc1-c1ccccc1)-c1ccccn1)c1ccc(cc1)-c1ccccc1,1.04139268515823,test
CPC010_PC3_6H:BRD-A71262238-001-06-8:10,PC3,CCCCN1CCCC1CNC(=O)c1cc(C#N)c2ccccc2c1OC,1.04139268515823,train
CPC010_PC3_6H:BRD-K28912512-001-18-2:10,PC3,NC(=O)c1cccnc1,1.04139268515823,train
CPC010_PC3_6H:BRD-K31471398-311-04-6:10,PC3,Oc1cc2CC[C@H]3NCc4ccccc4[C@@H]3c2cc1O,1.04139268515823,train
CPC010_PC3_6H:BRD-K39339537-001-18-6:10,PC3,COc1cc(C)nn1-c1nc(C)cc(OC)n1,1.04139268515823,train
CPC010_PC3_6H:BRD-K54314721-001-06-0:10,PC3,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,1.04139268515823,test
CPC011_PC3_6H:BRD-A39052811-048-07-8:10,PC3,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,1.04139268515823,train
CPC011_PC3_6H:BRD-K21283037-003-09-6:10,PC3,Nc1nc2ccc(OC(F)(F)F)cc2s1,1.04139268515823,train
CPC011_PC3_6H:BRD-K45158365-001-07-2:10,PC3,CCCCC(=O)N(Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1)[C@@H](C(C)C)C(O)=O,1.04139268515823,train
CPC011_PC3_6H:BRD-K52662033-001-15-8:10,PC3,CCN(CC)CC(=O)Nc1c(C)cccc1C,1.04139268515823,test
CPC011_PC3_6H:BRD-K57033106-003-15-5:10,PC3,CN(C)CCN(Cc1ccccc1)c1ccccn1,1.04139268515823,train
CPC013_PC3_6H:BRD-K09485525-001-01-3:10,PC3,CN(C)c1ccccc1CN1CCCN(Cc2ccccc2N(C)C)C1c1ccncc1,1.04139268515823,train
CPC013_PC3_6H:BRD-K11663430-001-01-5:10,PC3,ONC(=O)CCCCCCC(=O)Nc1cccnc1,1.04139268515823,train
CPC013_PC3_6H:BRD-K13390322-001-01-4:10,PC3,Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCNCC1,1.04139268515823,test
CPC013_PC3_6H:BRD-K15600710-066-01-7:10,PC3,COC1=CC(=N\C\1=C/c1[nH]c(C)cc1C)c1cc2ccccc2[nH]1,1.04139268515823,train
CPC013_PC3_6H:BRD-K16478699-001-01-9:10,PC3,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,1.04139268515823,train
CPC013_PC3_6H:BRD-K19540840-001-01-1:10,PC3,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c5OCOc5ccc4Cl)ncnc3c2)CC1,1.04139268515823,train
CPC013_PC3_6H:BRD-K24681473-004-01-4:10,PC3,COCC[n+]1c(C)n(Cc2cnccn2)c2c1C(=O)c1ccccc1C2=O,1.04139268515823,test
CPC013_PC3_6H:BRD-K28120222-001-05-0:10,PC3,C\C1=C/CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1,1.04139268515823,train
CPC013_PC3_6H:BRD-K29905972-001-03-0:10,PC3,CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1,1.04139268515823,train
CPC013_PC3_6H:BRD-K31553034-001-01-4:10,PC3,COc1nc(C)cnc1NS(=O)(=O)c1cccnc1-c1ccc(cc1)-c1nnco1,1.04139268515823,test
CPC013_PC3_6H:BRD-K56334280-001-01-0:10,PC3,CN(C)CCN1C(=O)c2cccc3cc(N)cc(C1=O)c23,1.04139268515823,train
CPC013_PC3_6H:BRD-K63068307-001-01-4:10,PC3,FC(F)c1nc2ccccc2n1-c1nc(nc(n1)N1CCOCC1)N1CCOCC1,1.04139268515823,test
CPC013_PC3_6H:BRD-K66175015-001-01-7:10,PC3,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,1.04139268515823,test
CPC013_PC3_6H:BRD-K76908866-001-01-9:10,PC3,COCC(=O)NC\C=C\c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,1.04139268515823,test
CPC013_PC3_6H:BRD-K79090631-001-15-7:10,PC3,OCCCNc1cc(ccn1)c2ccnc(Nc3cccc(Cl)c3)n2,1.04139268515823,train
CPC013_PC3_6H:BRD-K87909389-001-01-2:10,PC3,CN1CC[C@@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl,1.04139268515823,train
CPC013_PC3_6H:BRD-K89162000-001-02-3:10,PC3,COc1cc2c(ncnc2cc1OCCCN1CCCCC1)N1CCN(CC1)C(=O)Nc1ccc(OC(C)C)cc1,1.04139268515823,train
CPC013_PC3_6H:BRD-K92428232-001-01-5:10,PC3,C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2ccc(CN3CCN(C)CC3)cc12)c1ccccc1C(F)(F)F,1.04139268515823,train
CPC013_PC3_6H:BRD-K97764662-001-10-8:10,PC3,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,1.04139268515823,train
CPC013_PC3_6H:BRD-K99616396-316-01-2:10,PC3,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc12,1.04139268515823,train
CPC014_PC3_6H:BRD-A45498368-001-02-2:10,PC3,CNC(=O)Nc1ccc(cc1)-c1nc(N2CC3CCC(C2)O3)c2cnn(C3CCC4(CC3)OCCO4)c2n1,1.04139268515823,test
CPC014_PC3_6H:BRD-K01253243-001-01-4:10,PC3,CN(C)CCOc1ccc(cc1)-c1nc(c([nH]1)-c1ccc2c(CC\C2=N\O)c1)-c1ccncc1,1.04139268515823,train
